nome_sub_familia,quantidade,percent_familia,cluster_id,cluster_name
FRUTAS,4005.600000000002,20.751150622705484,0,"0-FRUTAS,LEGUMES,FOLHAS"
LEGUMES,2617.4170000000017,13.559620134169645,0,"0-FRUTAS,LEGUMES,FOLHAS"
FOLHAS,1360.8020000000001,7.049682262252562,0,"0-FRUTAS,LEGUMES,FOLHAS"
BOVINA,637.8639999999999,3.304476717795437,0,"0-FRUTAS,LEGUMES,FOLHAS"
AVES,459.0610000000001,2.378181534853655,0,"0-FRUTAS,LEGUMES,FOLHAS"
REFRIGERANTES,451.0,2.3364212429698843,0,"0-FRUTAS,LEGUMES,FOLHAS"
PRODUCAO PROPRIA,352.8179999999998,1.8277859647497743,0,"0-FRUTAS,LEGUMES,FOLHAS"
BISCOITOS DOCES,319.0,1.6525906352713817,0,"0-FRUTAS,LEGUMES,FOLHAS"
CERVEJAS LATA,305.0,1.580063146576086,0,"0-FRUTAS,LEGUMES,FOLHAS"
LEITE L.V TRADICIONAL,248.0,1.2847726568880962,0,"0-FRUTAS,LEGUMES,FOLHAS"
OVOS,242.0,1.253689447447255,0,"0-FRUTAS,LEGUMES,FOLHAS"
PAES SALGADOS,239.0,1.2381478427268344,0,"0-FRUTAS,LEGUMES,FOLHAS"
GERAL ROTISSERIA,225.07500000000007,1.1660088941495497,0,"0-FRUTAS,LEGUMES,FOLHAS"
SUINA,213.32599999999996,1.1051427895294756,0,"0-FRUTAS,LEGUMES,FOLHAS"
DESODORANTE AEROSOL,209.0,1.0827317955226294,0,"0-FRUTAS,LEGUMES,FOLHAS"
SUCOS PRONTOS/NECTAR,209.0,1.0827317955226294,0,"0-FRUTAS,LEGUMES,FOLHAS"
CHOCOLATES/OVOS PASC,186.0,0.963579492666072,0,"0-FRUTAS,LEGUMES,FOLHAS"
DETERGENTES LIQUIDOS,173.0,0.8962325388775831,0,"0-FRUTAS,LEGUMES,FOLHAS"
IOGURTES/SOBREMESAS,166.0,0.8599687945299352,0,"0-FRUTAS,LEGUMES,FOLHAS"
IORGURTES/BEB.LACTEA,161.0,0.8340661199959011,0,"0-FRUTAS,LEGUMES,FOLHAS"
FRUTAS,1964.4520000000002,47.57982440205874,1,"1-FRUTAS,LEGUMES,FOLHAS"
LEGUMES,336.92,8.160339085679686,1,"1-FRUTAS,LEGUMES,FOLHAS"
FOLHAS,287.0,6.951256433545263,1,"1-FRUTAS,LEGUMES,FOLHAS"
PRODUCAO PROPRIA,86.16199999999998,2.086878595216469,1,"1-FRUTAS,LEGUMES,FOLHAS"
GERAL ROTISSERIA,85.04199999999999,2.0597517408416586,1,"1-FRUTAS,LEGUMES,FOLHAS"
REFRIGERANTES,82.0,1.9860732667272178,1,"1-FRUTAS,LEGUMES,FOLHAS"
BOVINA,77.13199999999999,1.8681683318195579,1,"1-FRUTAS,LEGUMES,FOLHAS"
BISCOITOS DOCES,65.0,1.574326369966697,1,"1-FRUTAS,LEGUMES,FOLHAS"
AVES,46.85,1.1347260066606115,1,"1-FRUTAS,LEGUMES,FOLHAS"
PAES SALGADOS,44.0,1.065697850438995,1,"1-FRUTAS,LEGUMES,FOLHAS"
OVOS,37.0,0.8961550105964274,1,"1-FRUTAS,LEGUMES,FOLHAS"
SUINA,30.107999999999993,0.7292279745685738,1,"1-FRUTAS,LEGUMES,FOLHAS"
LEITE L.V TRADICIONAL,28.0,0.6781713593702695,1,"1-FRUTAS,LEGUMES,FOLHAS"
CHOCOLATES/OVOS PASC,27.0,0.6539509536784741,1,"1-FRUTAS,LEGUMES,FOLHAS"
SUCOS PRONTOS/NECTAR,25.0,0.6055101422948834,1,"1-FRUTAS,LEGUMES,FOLHAS"
BALAS EM GERAL,24.0,0.5812897366030881,1,"1-FRUTAS,LEGUMES,FOLHAS"
SABONETES,23.0,0.5570693309112927,1,"1-FRUTAS,LEGUMES,FOLHAS"
Sub Familia em Geral,22.872,0.5539691189827429,1,"1-FRUTAS,LEGUMES,FOLHAS"
DOCES,22.0,0.5328489252194974,1,"1-FRUTAS,LEGUMES,FOLHAS"
IOGURTES/SOBREMESAS,22.0,0.5328489252194974,1,"1-FRUTAS,LEGUMES,FOLHAS"
FRUTAS,3213.5110000000022,6.701930916978684,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
REFRESCO,1770.0,3.6914196724555355,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
BISCOITOS DOCES,1756.0,3.662222002729899,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
LEGUMES,1715.8309999999992,3.578447631643532,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
BOVINA,1713.2589999999987,3.573083602605364,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
REFRIGERANTES,1648.0,3.436982836274985,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
SABONETES,1381.0,2.8801415636503362,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
LEITE L.V TRADICIONAL,1362.0,2.8405161547369717,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
FOLHAS,1248.116,2.60300562480594,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
AVES,1196.0340000000006,2.494386122330896,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
CERVEJAS LATA,1140.0,2.3775245348018705,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
DESODORANTE AEROSOL,1054.0,2.1981674207729576,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
MAC INSTANTANEO,942.0,1.9645860629678613,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
DETERGENTES LIQUIDOS,941.0,1.9625005151303159,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
PRODUCAO PROPRIA,913.5199999999996,1.9051896605545646,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
CHOCOLATES/OVOS PASC,709.0,1.4786534168197598,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
GERAL ROTISSERIA,675.0000000000001,1.4077447903432132,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
IOGURTES/SOBREMESAS,653.0,1.361862737917212,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
Sub Familia em Geral,629.2579999999997,1.312347661158206,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
MAC OVOS E SEMOLA,608.0,1.2680130852276643,2,"2-FRUTAS,REFRESCO,BISCOITOS DOCES"
CERVEJAS LATA,1586.0,54.06717420266259,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
REFRIGERANTES,133.0,4.534006411698691,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
FRUTAS,95.53999999999999,3.2569847561931797,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
BOVINA,93.16300000000001,3.175952175436731,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
LEGUMES,65.09599999999998,2.2191404614732173,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
FOLHAS,49.0,1.6704234148363597,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
Sub Familia em Geral,41.428000000000004,1.412291861833484,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
AVES,41.046,1.3992693772525149,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
BISCOITOS DOCES,39.0,1.3295206771146537,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
AGUA MINERAL/SABORES,34.0,1.1590693082538006,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
PRODUCAO PROPRIA,31.903999999999996,1.087616094427331,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
SUINA,27.864000000000004,0.949891388387762,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
SALGADINHOS,27.0,0.9204373918486065,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
CIGARROS,25.0,0.8522568443042653,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
GERAL ROTISSERIA,22.202,0.7568722582897319,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
CHOCOLATES/OVOS PASC,22.0,0.7499860229877534,3,"3-CERVEJAS LATA,REFRIGERANTES,FRUTAS"
