index,nome_sub_familia,quantidade,total_freq,percent_freq
133,FRUTAS,51803,477485,10.849136622092841
164,LEGUMES,31441,477485,6.584709467313108
225,PRODUCAO PROPRIA,30508,477485,6.389310658973581
237,REFRIGERANTES,23573,477485,4.936909012848571
141,GERAL ROTISSERIA,23155,477485,4.849366995821859
128,FOLHAS,18015,477485,3.7728933893211303
59,CERVEJAS LATA,16568,477485,3.4698472203315287
43,BOVINA,14748,477485,3.088683414138664
37,BISCOITOS DOCES,11210,477485,2.3477177293527545
27,AVES,9079,477485,1.9014209870467136
65,CHOCOLATES/OVOS PASC,7714,477485,1.615548132402065
234,QUEIJOS,7217,477485,1.5114610930186287
67,CIGARROS,6326,477485,1.32485837251432
273,SUINA,5990,477485,1.2544896698325603
254,SALGADINHOS,5948,477485,1.2456935819973403
235,REFRESCO,5891,477485,1.2337560342209701
271,SUCOS PRONTOS/NECTAR,5591,477485,1.1709268353979707
167,LEITE L.V TRADICIONAL,5468,477485,1.1451668638805408
274,Sub Familia em Geral,5297,477485,1.109354220551431
98,DETERGENTES LIQUIDOS,5180,477485,1.084850833010461
247,SABONETES,5132,477485,1.0747981611987811
183,LINGUICA,5069,477485,1.0616040294459512
186,MAC INSTANTANEO,4741,477485,0.9929107720661382
156,IOGURTES/SOBREMESAS,4547,477485,0.9522812234939318
205,PAES SALGADOS,4378,477485,0.9168874414903087
203,OVOS,4057,477485,0.849660198749699
93,DESODORANTE AEROSOL,4008,477485,0.8393980962752756
31,BALAS EM GERAL,3570,477485,0.747667465993696
12,ALHO,3441,477485,0.7206509104998063
100,DOCES,3228,477485,0.6760421793354765
187,MAC OVOS E SEMOLA,3180,477485,0.6659895075237966
278,TEMPEROS,3151,477485,0.65991601830424
8,AGUA MINERAL/SABORES,2939,477485,0.6155167178026535
46,CAFE,2855,477485,0.5979245421322136
6,ACUCAR,2844,477485,0.5956208048420369
5,ACHOCOLATADOS PO/LIQ,2795,477485,0.5853587023676136
23,APRESUNTADO P/FATIAR,2702,477485,0.5658816507324838
197,MORTADELA P/FATIAR,2672,477485,0.5595987308501837
83,CREME LEITE,2617,477485,0.5480800443993005
157,IORGURTES/BEB.LACTEA,2572,477485,0.5386556645758506
